PixelNo,Wavelength,CCD_1,CCD_2,CCD_3,Calib_1,Calib_2,Calib_3,DarkSub_1,DarkSub_2,DarkSub_3,%T/R_1,%T/R_2,%T/R_3,Ref,Dark,Absorb_1,Absorb_2,Absorb_3,AbsIrrad_1,AbsIrrad_2,AbsIrrad_3
63,1.15E+03,5.45E+02,0.00E+00,0.00E+00,5.45E+02,0.00E+00,0.00E+00,5.45E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
64,1.15E+03,5.41E+02,0.00E+00,0.00E+00,5.41E+02,0.00E+00,0.00E+00,5.41E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
65,1.15E+03,5.66E+02,0.00E+00,0.00E+00,5.66E+02,0.00E+00,0.00E+00,5.66E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
66,1.15E+03,5.42E+02,0.00E+00,0.00E+00,5.42E+02,0.00E+00,0.00E+00,5.42E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
67,1.15E+03,6.06E+02,0.00E+00,0.00E+00,6.06E+02,0.00E+00,0.00E+00,6.06E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
68,1.15E+03,5.83E+02,0.00E+00,0.00E+00,5.83E+02,0.00E+00,0.00E+00,5.83E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
69,1.15E+03,5.90E+02,0.00E+00,0.00E+00,5.90E+02,0.00E+00,0.00E+00,5.90E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
70,1.15E+03,6.05E+02,0.00E+00,0.00E+00,6.05E+02,0.00E+00,0.00E+00,6.05E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
71,1.15E+03,5.54E+02,0.00E+00,0.00E+00,5.54E+02,0.00E+00,0.00E+00,5.54E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
72,1.15E+03,5.14E+02,0.00E+00,0.00E+00,5.14E+02,0.00E+00,0.00E+00,5.14E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
73,1.15E+03,5.38E+02,0.00E+00,0.00E+00,5.38E+02,0.00E+00,0.00E+00,5.38E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
74,1.15E+03,5.46E+02,0.00E+00,0.00E+00,5.46E+02,0.00E+00,0.00E+00,5.46E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
75,1.15E+03,5.29E+02,0.00E+00,0.00E+00,5.29E+02,0.00E+00,0.00E+00,5.29E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
76,1.15E+03,5.70E+02,0.00E+00,0.00E+00,5.70E+02,0.00E+00,0.00E+00,5.70E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
77,1.15E+03,5.63E+02,0.00E+00,0.00E+00,5.63E+02,0.00E+00,0.00E+00,5.63E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
78,1.15E+03,5.46E+02,0.00E+00,0.00E+00,5.46E+02,0.00E+00,0.00E+00,5.46E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
79,1.15E+03,5.34E+02,0.00E+00,0.00E+00,5.34E+02,0.00E+00,0.00E+00,5.34E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
80,1.15E+03,5.53E+02,0.00E+00,0.00E+00,5.53E+02,0.00E+00,0.00E+00,5.53E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
81,1.15E+03,5.24E+02,0.00E+00,0.00E+00,5.24E+02,0.00E+00,0.00E+00,5.24E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
82,1.15E+03,5.41E+02,0.00E+00,0.00E+00,5.41E+02,0.00E+00,0.00E+00,5.41E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
83,1.15E+03,5.67E+02,0.00E+00,0.00E+00,5.67E+02,0.00E+00,0.00E+00,5.67E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
84,1.15E+03,5.84E+02,0.00E+00,0.00E+00,5.84E+02,0.00E+00,0.00E+00,5.84E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
85,1.15E+03,6.02E+02,0.00E+00,0.00E+00,6.02E+02,0.00E+00,0.00E+00,6.02E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
86,1.15E+03,5.85E+02,0.00E+00,0.00E+00,5.85E+02,0.00E+00,0.00E+00,5.85E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
87,1.15E+03,6.25E+02,0.00E+00,0.00E+00,6.25E+02,0.00E+00,0.00E+00,6.25E+02,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-07,0.00E+00,0.00E+00
